message_id,message_clean,annotation_new,name
060010," або водії дотримуються правил дорожнього руху, або дороги перетворюються на стоянки . поки водії не почнуть більше уваги приділяти правилам, затори на пасічній будуть тривати.","{'name': 'Black_White', 'start': 0, 'end': 84}",Black_White
060020," якщо не ремонтувати дорогу, то автомобілісти будуть стояти в заторах ще довше, а якщо провести ремонт, то затори зникнуть . поки не зайнятися ремонтом дороги, люди продовжуватимуть витрачати години на пасічній.","{'name': 'Black_White', 'start': 0, 'end': 122}",Black_White
060030," чи люди будуть стояти в заторах далі, чи можна вирішити цю проблему? вибір здається очевидним, але це вимагає конкретних дій і рішень.","{'name': 'Black_White', 'start': 0, 'end': 69}",Black_White
060040,"у харкові планується витратити мільйон гривень на ремонт шкільного туалету. це важливо, оскільки школярі заслуговують на належні умови для навчання та гігієни. або ми забезпечуємо їм комфорт та зберігаємо гідність, або ми ігноруємо їхні права і принижуємо їх. ","{'name': 'Black_White', 'start': 160, 'end': 260}",Black_White
060050,"громадський активіст заявив, що ремонт туалету за таку велику суму - це неприпустиме марнотратство коштів. або ми розумно господарюємо коштами, або ми дозволяємо безглуздям і розтраті домінувати. ","{'name': 'Black_White', 'start': 107, 'end': 196}",Black_White
060060,"місцевий чиновник стверджує, що ці кошти будуть витрачені з максимальною ефективністю, забезпечуючи якісний ремонт туалету. або ми гарантуємо якість освіти, або ми піддаємо ризику майбутні покоління. ","{'name': 'Black_White', 'start': 124, 'end': 200}",Black_White
060070,"експерти наголошують, що ремонт туалету - це лише початок вирішення проблеми зі зношеністю інфраструктури шкіл. це перший крок у напрямку поліпшення умов навчання для молодого покоління. або ми рухаємося вперед до кращого майбутнього, або залишаємося у вирі відсталості. ","{'name': 'Black_White', 'start': 187, 'end': 271}",Black_White
060080,"родини учнів висловлюють обурення великою сумою, витраченою на ремонт туалету, в умовах, коли в школах бракує необхідних підручників та обладнання. або ми віддамо перевагу навчанню і розвитку дітей, або ми пріоритизуємо поверхневість і зовнішність. ","{'name': 'Black_White', 'start': 148, 'end': 249}",Black_White
060090,"пральна машина винна у загрозі життю пенсіонерки, її використання - ризик для всієї сімї. або ми відмовляємося від використання таких пристроїв, або ми ставимо під загрозу безпеку своєї родини. ","{'name': 'Black_White', 'start': 91, 'end': 195}",Black_White
060100,"пральна машина - це безпечний побутовий пристрій, а інцидент - це випадкова недоречність, яка може трапитися з будь-якими електроприладами. або ми відмовляємося від користування будь-якими електроприладами, або ми приймаємо ризик та користуємося ними. ","{'name': 'Black_White', 'start': 140, 'end': 252}",Black_White
060110,"ледь не загинула пенсіонерка в харкові через пральну машину. пральна машина стала смертельною пасткою для жінки, її життя віддавало останнім подихом. або ми негайно припиняємо використання пральних машин, або ми приречені на подібні трагедії. ","{'name': 'Black_White', 'start': 150, 'end': 243}",Black_White
060120,"ледь не загинула пенсіонерка в харкові через пральну машину. благодійники подарували нову пральну машину постраждалій, врятувавши її від небезпеки. або ми рятуємо життя, забезпечуючи безпеку та допомагаючи потерпілим, або ми залишаємо людей без захисту та допомоги в умовах небезпеки. ","{'name': 'Black_White', 'start': 148, 'end': 286}",Black_White
060130,"впали майже 500 електроопор на харківщині через негоду, – міненерго. знеструмлені 1,8 тисяч абонентів. негода - непередбачуваний форс-мажор, який не можна передбачити або запобігти. чи ми повинні приймати природні катаклізми як невблаганну долю, або ми можемо вплинути на їхні наслідки. ","{'name': 'Black_White', 'start': 182, 'end': 287}",Black_White
060140,"впали майже 500 електроопор на харківщині через негоду, – міненерго. знеструмлені 1,8 тисяч абонентів. чому система електропостачання не забезпечена надійними засобами захисту від стихійних лих? або ми забезпечуємо безпеку наших громадян, або ми відстаємо у забезпеченні життєвих потреб. ","{'name': 'Black_White', 'start': 195, 'end': 287}",Black_White
060150,"впали майже 500 електроопор на харківщині через негоду, – міненерго. стійкий вітер та сильні дощі призвели до аварії, яка призвела до значного знеструмлення. чи ми впораємося з наслідками природної катастрофи, або ми залишимося в темряві без електропостачання? робимо ставки!","{'name': 'Black_White', 'start': 158, 'end': 260}",Black_White
060160,"впали майже 500 електроопор на харківщині через негоду, – міненерго. тисячі абонентів залишилися без світла через масштабне зрушення електромережі. чи ми можемо відновити електропостачання швидко, або ми залишимося в темряві на невизначений термін? ","{'name': 'Black_White', 'start': 148, 'end': 249}",Black_White
060170,"впали майже 500 електроопор на харківщині через негоду, – міненерго. невідкладна реакція рятувальних служб допомогла уникнути серйозних постраждань. чи ми здатні відновити електропостачання в найкоротший термін, або ми чекаємо на подальше погіршення ситуації? ","{'name': 'Black_White', 'start': 149, 'end': 260}",Black_White
060180,"у харкові сталася аварія з виливом небезпечних речовин. на щастя, оперативна діяльність екстрених служб запобігла загрозі для населення. чи ми готові до подібних небезпек у майбутньому, або ми чекаємо на нові аварії без заходів запобігання? ","{'name': 'Black_White', 'start': 137, 'end': 240}",Black_White
